model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,0,3,4,2,2,1,5,2,3,0	0.000111111	0.936222	<1e-06	>111.123
0,1,2,0,3,4,2,2,1,1,2,4,3	0.000111111	0.936333	<1e-06	>111.123
0,1,2,0,3,4,1,5,6,7,8,4,3	0.000111111	0.936444	<1e-06	>111.123
0,1,2,0,3,4,1,5,6,7,1,4,8	0.000111111	0.936556	<1e-06	>111.123
0,1,2,0,3,4,1,2,5,6,7,4,3	0.000111111	0.936667	<1e-06	>111.123
0,1,2,0,3,3,4,5,6,7,8,3,9	0.000111111	0.936778	4e-06	27.7808
0,1,2,0,3,3,4,5,6,7,4,8,3	0.000111111	0.936889	<1e-06	>111.123
0,1,2,0,3,3,4,5,6,7,2,3,0	0.000111111	0.937	<1e-06	>111.123
0,1,2,0,3,3,4,5,6,6,5,3,3	0.000111111	0.937111	<1e-06	>111.123
0,1,2,0,3,4,2,2,1,5,2,3,4	0.000111111	0.937222	<1e-06	>111.123
0,1,2,0,3,3,4,5,1,6,2,3,3	0.000111111	0.937333	1e-06	111.123
0,1,2,0,3,3,4,4,5,6,4,7,3	0.000111111	0.937444	<1e-06	>111.123
0,1,2,0,3,3,4,4,5,6,4,7,0	0.000111111	0.937556	<1e-06	>111.123
0,1,2,0,3,3,4,4,5,5,4,3,3	0.000111111	0.937667	<1e-06	>111.123
0,1,2,0,3,3,4,4,1,5,6,3,3	0.000111111	0.937778	<1e-06	>111.123
0,1,2,0,3,3,4,4,1,5,4,3,3	0.000111111	0.937889	<1e-06	>111.123
0,1,2,0,3,3,4,4,1,5,4,0,0	0.000111111	0.938	<1e-06	>111.123
0,1,2,0,3,3,4,4,1,1,5,6,3	0.000111111	0.938111	<1e-06	>111.123
0,1,2,0,3,4,2,2,5,5,2,6,0	0.000111111	0.938222	<1e-06	>111.123
0,1,2,0,3,4,2,5,1,6,7,4,4	0.000111111	0.938333	<1e-06	>111.123
0,1,2,0,3,4,2,5,1,6,7,3,3	0.000111111	0.938444	<1e-06	>111.123
0,1,2,0,3,4,2,5,1,6,5,4,0	0.000111111	0.938556	<1e-06	>111.123
0,1,2,0,3,4,2,5,1,6,2,4,0	0.000111111	0.938667	<1e-06	>111.123
0,1,2,0,3,4,2,2,5,6,7,4,8	0.000111111	0.938778	<1e-06	>111.123
0,1,2,0,3,4,2,2,5,6,2,7,4	0.000111111	0.938889	1e-06	111.123
0,1,2,0,3,4,2,2,5,6,2,3,4	0.000111111	0.939	<1e-06	>111.123
0,1,2,0,3,4,2,2,5,6,2,0,0	0.000111111	0.939111	<1e-06	>111.123
0,1,2,0,3,4,2,2,5,6,0,4,3	0.000111111	0.939222	<1e-06	>111.123
0,1,2,0,3,4,5,6,7,8,6,4,9	0.000111111	0.939333	3e-06	37.041
0,1,2,0,3,4,2,2,5,5,2,4,6	0.000111111	0.939444	<1e-06	>111.123
0,1,2,0,3,4,2,2,5,5,2,4,3	0.000111111	0.939556	<1e-06	>111.123
0,1,2,0,3,4,2,2,5,5,2,3,3	0.000111111	0.939667	<1e-06	>111.123
