model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,0,0,2,1,1,0,0,3,0,1,4,1,5,6,6,6,6,1,7,1	0.000333333	0.12	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,1,1,4,1,1,5,5,5,5,1,6,7	0.000333333	0.120333	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,4,5,5,5,1,6,1	0.000333333	0.120667	<1e-06	>333.444
0,1,0,0,2,1,1,3,0,4,3,1,5,1,1,6,6,6,6,1,2,1	0.000333333	0.121	<1e-06	>333.444
0,1,0,0,2,3,1,0,0,1,0,1,4,1,1,5,5,5,5,1,2,1	0.000333333	0.121333	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,1,0,3,4,1,1,5,5,5,5,1,6,1	0.000333333	0.121667	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,1,0,3,4,1,1,0,5,5,5,1,6,1	0.000333333	0.122	<1e-06	>333.444
0,1,2,2,3,1,1,0,0,1,4,1,5,1,1,6,6,6,6,1,5,1	0.000333333	0.122333	<1e-06	>333.444
0,1,0,0,2,1,1,3,0,1,3,1,4,1,1,5,5,5,5,1,6,7	0.000333333	0.122667	<1e-06	>333.444
0,1,0,0,2,3,1,0,0,1,4,1,5,1,3,6,6,6,6,1,7,1	0.000333333	0.123	<1e-06	>333.444
0,1,0,0,2,1,1,3,3,4,3,1,5,1,1,6,6,6,6,1,7,1	0.000333333	0.123333	<1e-06	>333.444
0,1,0,0,2,3,3,0,0,3,4,3,5,3,3,6,6,6,6,3,5,3	0.000333333	0.123667	<1e-06	>333.444
0,1,0,0,2,3,3,0,0,3,4,3,5,3,3,6,6,6,6,3,7,3	0.000333333	0.124	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,1,0,1,3,1,4,5,5,5,5,1,2,1	0.000333333	0.124333	<1e-06	>333.444
0,1,2,0,3,1,1,2,2,1,2,1,4,1,1,5,5,5,5,1,3,1	0.000333333	0.124667	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,4,4,4,4,1,5,6	0.000333333	0.125	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,0,4,5,1,1,6,6,6,6,1,7,1	0.000333333	0.125333	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,1,0,1,3,4,1,5,6,6,6,1,7,1	0.000333333	0.125667	<1e-06	>333.444
0,1,0,0,2,1,1,0,3,1,4,5,6,1,1,7,7,7,7,1,8,1	0.000333333	0.126	<1e-06	>333.444
0,1,0,0,2,3,1,0,0,4,0,1,5,1,1,6,7,7,7,1,8,1	0.000333333	0.126333	<1e-06	>333.444
0,1,0,0,2,3,1,0,0,1,4,1,5,1,1,6,6,6,6,1,7,1	0.000333333	0.126667	<1e-06	>333.444
0,1,0,0,2,1,1,3,0,1,3,1,2,1,1,4,4,4,4,1,2,1	0.000333333	0.127	<1e-06	>333.444
0,1,0,0,2,3,1,3,0,1,3,1,4,1,1,5,5,5,5,1,6,1	0.000333333	0.127333	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,4,5,4,4,1,3,1	0.000333333	0.127667	<1e-06	>333.444
0,1,2,0,3,1,1,0,0,1,0,1,4,1,1,2,5,5,5,1,6,1	0.000333333	0.128	<1e-06	>333.444
0,1,0,2,3,1,1,0,0,1,0,1,4,1,1,5,5,5,5,1,6,1	0.000333333	0.128333	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,1,1,3,1,1,4,4,4,4,1,2,1	0.000333333	0.128667	<1e-06	>333.444
0,1,0,2,3,1,1,0,0,1,4,1,5,1,1,6,6,6,6,1,7,1	0.000222222	0.128889	<1e-06	>222.271
0,1,2,0,3,1,1,0,0,4,2,1,4,1,1,5,5,5,5,1,4,1	0.000222222	0.129111	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,4,4,4,4,1,5,3	0.000222222	0.129333	<1e-06	>222.271
0,1,0,0,2,1,1,3,0,4,3,1,5,1,1,6,6,6,6,1,4,1	0.000222222	0.129556	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,2,0,1,2,1,3,4,4,4,4,1,2,1	0.000222222	0.129778	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,4,1,2,1,1,5,5,5,5,3,2,1	0.000222222	0.13	<1e-06	>222.271
0,1,0,0,2,1,1,3,0,4,1,1,4,1,1,5,5,5,5,1,4,1	0.000222222	0.130222	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,4,1,2,1,1,0,5,5,5,1,6,1	0.000222222	0.130444	<1e-06	>222.271
0,1,0,2,3,1,1,0,0,1,4,1,5,1,1,6,6,6,6,1,5,1	0.000222222	0.130667	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,4,4,4,4,3,2,1	0.000222222	0.130889	<1e-06	>222.271
0,1,0,0,2,3,3,0,0,1,0,1,4,3,3,5,5,5,5,1,6,1	0.000222222	0.131111	<1e-06	>222.271
0,1,2,2,3,1,1,2,2,1,2,1,4,1,1,5,5,5,5,1,4,1	0.000222222	0.131333	<1e-06	>222.271
0,1,2,0,3,1,1,4,2,5,4,1,6,1,1,7,8,8,8,1,9,1	0.000222222	0.131556	<1e-06	>222.271
0,1,0,2,3,1,1,0,0,1,0,1,4,1,1,2,5,5,5,1,4,1	0.000222222	0.131778	<1e-06	>222.271
0,1,0,0,2,3,1,0,0,1,4,1,5,1,1,6,6,6,6,1,5,1	0.000222222	0.132	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,0,5,5,5,1,4,3	0.000222222	0.132222	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,0,5,5,5,1,6,1	0.000222222	0.132444	<1e-06	>222.271
0,1,0,0,2,3,1,0,0,4,5,1,4,1,1,6,6,7,7,1,8,1	0.000222222	0.132667	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,1,0,1,3,1,4,0,5,5,5,1,6,1	0.000222222	0.132889	<1e-06	>222.271
0,1,0,2,3,1,1,0,0,4,0,1,4,1,1,2,2,2,2,1,4,1	0.000222222	0.133111	<1e-06	>222.271
0,1,0,0,2,1,1,3,0,4,3,1,4,1,5,6,6,6,6,1,7,1	0.000222222	0.133333	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,5,5,5,5,1,2,6	0.000222222	0.133556	<1e-06	>222.271
0,1,0,2,3,1,1,2,2,4,5,1,4,1,1,6,6,6,6,1,7,1	0.000222222	0.133778	<1e-06	>222.271
0,1,0,0,2,1,3,0,0,3,0,4,5,1,1,6,6,6,6,1,7,3	0.000222222	0.134	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,4,1,3,1,5,6,6,6,6,1,3,1	0.000222222	0.134222	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,1,0,1,3,1,4,0,5,5,5,1,3,1	0.000222222	0.134444	<1e-06	>222.271
0,1,0,0,2,1,1,0,3,4,5,1,6,1,7,8,8,8,8,1,6,1	0.000222222	0.134667	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,4,1,3,1,1,5,6,6,6,1,3,1	0.000222222	0.134889	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,4,4,4,4,5,6,1	0.000222222	0.135111	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,4,4,4,4,5,3,1	0.000222222	0.135333	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,4,4,4,5,1,3,1	0.000222222	0.135556	<1e-06	>222.271
0,1,0,2,3,1,1,0,0,1,0,1,4,1,1,2,2,2,2,1,5,1	0.000222222	0.135778	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,4,4,4,4,1,3,3	0.000222222	0.136	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,0,4,4,4,1,2,1	0.000222222	0.136222	<1e-06	>222.271
0,1,0,0,2,1,1,3,0,4,3,1,4,1,1,5,5,5,5,1,4,1	0.000222222	0.136444	<1e-06	>222.271
0,1,0,2,3,1,1,0,0,1,0,1,4,1,1,0,5,5,5,1,4,1	0.000222222	0.136667	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,4,5,4,5,1,6,1	0.000222222	0.136889	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,2,1,1,4,4,4,4,1,2,1	0.000222222	0.137111	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,4,5,5,5,1,2,1	0.000222222	0.137333	<1e-06	>222.271
0,1,0,0,2,1,1,3,0,4,1,1,5,1,1,6,6,6,6,1,7,1	0.000222222	0.137556	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,0,4,4,4,1,3,5	0.000222222	0.137778	<1e-06	>222.271
0,1,0,0,2,3,1,0,0,1,3,1,4,1,3,5,5,5,5,1,6,1	0.000222222	0.138	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,0,4,4,4,1,5,6	0.000222222	0.138222	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,4,1,3,1,1,0,5,5,6,1,7,1	0.000222222	0.138444	<1e-06	>222.271
0,1,0,2,3,1,1,0,0,1,1,1,4,1,1,5,5,5,5,1,6,1	0.000222222	0.138667	<1e-06	>222.271
0,1,0,0,2,3,1,4,0,5,4,1,6,1,1,7,8,8,8,1,5,1	0.000222222	0.138889	<1e-06	>222.271
0,1,0,2,3,4,1,0,0,5,6,7,8,1,1,9,9,9,9,1,10,11	0.000222222	0.139111	<1e-06	>222.271
0,1,0,0,2,3,4,0,0,5,6,4,5,4,3,0,7,7,7,4,8,4	0.000222222	0.139333	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,0,4,4,4,5,6,1	0.000222222	0.139556	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,3,4,1,3,1,1,0,5,5,5,6,7,1	0.000222222	0.139778	<1e-06	>222.271
0,1,2,2,3,1,1,2,2,1,2,1,4,1,1,5,5,5,5,1,3,1	0.000222222	0.14	<1e-06	>222.271
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,4,4,5,4,1,3,1	0.000222222	0.140222	<1e-06	>222.271
0,1,0,2,3,1,1,0,0,1,0,1,4,1,1,5,6,6,6,1,7,1	0.000222222	0.140444	<1e-06	>222.271
0,1,0,0,2,1,1,3,0,1,0,1,4,1,1,5,5,5,6,1,7,1	0.000222222	0.140667	<1e-06	>222.271
